Employee ID,Title,BusinessUnit,DepartmentType,Division,State,DOB,GenderCode,RaceDesc,MaritalDesc,EmployeeStatus,EmployeeType,EmployeeClassificationType,PayZone,StartDate,ExitDate,TerminationType,Performance Score,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost
3427,Production Technician I,CCDR,Production,Finance & Accounting,MA,1969-10-07,Female,White,Widowed,Active,Contract,Temporary,Zone C,2019-09-20,,,3,4,1,2,3,2023-07-15,Leadership Development,Internal,Failed,2,606.11
3428,Production Technician I,EW,Production,Aerial,MA,1965-08-30,Male,Hispanic,Widowed,Active,Contract,Part-Time,Zone A,2023-02-11,,,3,3,2,1,5,2022-09-12,Customer Service,External,Incomplete,4,673.02
3429,Area Sales Manager,PL,Sales,General - Sga,MA,1991-10-06,Male,Hispanic,Widowed,Active,Full-Time,Part-Time,Zone B,2018-12-10,,,3,4,1,2,1,2022-08-13,Leadership Development,External,Failed,2,413.28
3430,Area Sales Manager,CCDR,Sales,Finance & Accounting,ND,1998-04-04,Male,Other,Single,Active,Contract,Full-Time,Zone A,2021-06-21,,,3,2,5,5,4,2022-12-15,Project Management,External,Completed,3,663.78
3431,Area Sales Manager,TNS,Sales,General - Con,FL,1969-08-29,Female,Other,Married,Active,Contract,Temporary,Zone A,2019-06-29,,,3,3,2,5,3,2023-07-13,Technical Skills,External,Failed,5,399.03
3432,Area Sales Manager,BPC,Sales,Field Operations,CT,1949-04-03,Male,Black,Married,Active,Contract,Full-Time,Zone B,2020-01-17,,,3,3,2,3,5,2023-04-18,Project Management,Internal,Passed,2,820.33
3433,Area Sales Manager,WBL,Sales,General - Eng,CA,1942-07-01,Female,Hispanic,Divorced,Inactive,Full-Time,Temporary,Zone B,2022-04-06,2023-07-03,Involuntary,4,4,1,5,2,2022-08-06,Customer Service,External,Passed,5,295.08
3434,Area Sales Manager,CCDR,Sales,Engineers,OR,1957-03-07,Female,White,Divorced,Inactive,Contract,Full-Time,Zone C,2020-11-06,2023-01-29,Involuntary,3,2,1,4,2,2022-10-07,Leadership Development,Internal,Passed,3,790.15
3435,Area Sales Manager,NEL,Sales,Executive,TX,1974-05-15,Male,Black,Widowed,Active,Contract,Part-Time,Zone B,2018-08-18,,,4,3,4,3,3,2023-07-19,Customer Service,Internal,Passed,3,798.4
3436,Area Sales Manager,BPC,Sales,Engineers,TX,1949-11-11,Male,Asian,Widowed,Inactive,Part-Time,Temporary,Zone B,2022-01-21,2023-06-29,Voluntary,3,5,5,5,2,2023-04-09,Leadership Development,Internal,Failed,5,192.61
3437,Area Sales Manager,SVG,Sales,Field Operations,IN,1964-01-26,Female,Other,Single,Active,Contract,Temporary,Zone B,2023-08-04,,,3,5,3,2,5,2022-10-20,Technical Skills,Internal,Failed,1,455.68
3438,Area Sales Manager,MSC,Sales,General - Con,GA,1948-04-06,Female,Asian,Married,Inactive,Full-Time,Temporary,Zone C,2018-08-10,2019-11-04,Voluntary,3,3,4,2,5,2022-10-05,Technical Skills,Internal,Failed,2,208.17
3439,Area Sales Manager,EW,Sales,Splicing,CO,1981-11-24,Male,Other,Single,Inactive,Full-Time,Temporary,Zone A,2022-05-25,2022-11-27,Involuntary,3,3,1,2,5,2023-03-09,Technical Skills,External,Incomplete,1,421.07
3440,Area Sales Manager,CCDR,Sales,Finance & Accounting,KY,1951-11-06,Female,White,Divorced,Inactive,Contract,Full-Time,Zone A,2019-12-05,2023-02-17,Voluntary,3,3,1,4,5,2023-05-29,Communication Skills,External,Failed,1,649.03
3441,Area Sales Manager,BPC,Sales,General - Con,NV,1989-11-21,Male,Asian,Widowed,Active,Part-Time,Part-Time,Zone A,2019-04-28,,,4,4,4,2,5,2023-01-08,Project Management,Internal,Passed,4,450.2
3442,Area Sales Manager,PYZ,IT/IS,Field Operations,MA,1952-11-24,Male,Black,Single,Inactive,Full-Time,Full-Time,Zone A,2019-07-09,2022-06-16,Voluntary,4,2,2,5,3,2023-03-06,Project Management,External,Failed,4,286.87
3443,Area Sales Manager,WBL,IT/IS,Project Management - Con,KY,1994-04-08,Male,Asian,Widowed,Inactive,Full-Time,Part-Time,Zone C,2021-04-05,2023-05-12,Voluntary,3,3,2,2,4,2023-02-18,Technical Skills,External,Failed,3,402.13
3444,Area Sales Manager,NEL,Sales,Engineers,KY,1983-11-15,Male,Other,Widowed,Inactive,Contract,Part-Time,Zone A,2021-11-28,2022-02-04,Voluntary,3,3,1,2,4,2022-11-02,Technical Skills,External,Failed,2,388.84
3445,Area Sales Manager,PL,Sales,Project Management - Con,KY,1985-12-07,Female,Other,Married,Active,Contract,Full-Time,Zone C,2021-01-16,,,4,4,4,5,2,2023-07-14,Project Management,External,Completed,2,879.64
3446,Area Sales Manager,BPC,Sales,Field Operations,TX,1996-05-01,Female,White,Divorced,Active,Part-Time,Part-Time,Zone A,2021-08-24,,,4,2,4,3,5,2022-12-11,Technical Skills,Internal,Failed,5,701.13
3447,Area Sales Manager,CCDR,Sales,General - Con,TX,1964-02-17,Female,Asian,Widowed,Inactive,Part-Time,Part-Time,Zone C,2020-05-26,2023-06-18,Involuntary,3,3,5,1,4,2023-04-02,Customer Service,Internal,Incomplete,3,353.21
3448,Area Sales Manager,SVG,Sales,Engineers,TX,1958-05-12,Male,Asian,Widowed,Inactive,Full-Time,Temporary,Zone A,2019-10-01,2020-11-06,Voluntary,3,3,5,1,5,2023-05-16,Communication Skills,Internal,Completed,4,911.05
3449,Area Sales Manager,EW,Sales,General - Eng,CO,1992-09-18,Male,Black,Single,Inactive,Contract,Temporary,Zone B,2023-05-10,2023-05-27,Involuntary,3,5,3,2,1,2022-10-02,Communication Skills,External,Completed,3,242.21
3450,Area Sales Manager,MSC,Sales,Field Operations,CO,1994-08-11,Male,Other,Single,Inactive,Contract,Temporary,Zone C,2020-09-01,2022-12-04,Voluntary,4,2,4,3,5,2023-01-12,Technical Skills,Internal,Completed,4,186.07
3451,Area Sales Manager,TNS,Sales,General - Con,CO,1968-01-15,Male,Other,Divorced,Inactive,Contract,Full-Time,Zone C,2021-02-18,2022-11-11,Voluntary,4,3,5,1,2,2023-03-22,Technical Skills,External,Completed,1,921.97
3452,Area Sales Manager,PYZ,Sales,General - Con,IN,1947-01-07,Male,Black,Divorced,Active,Part-Time,Part-Time,Zone A,2022-11-08,,,3,2,5,5,2,2022-09-13,Customer Service,Internal,Failed,1,691.04
3453,Area Sales Manager,WBL,Sales,Fielders,MA,1982-04-07,Male,White,Widowed,Active,Contract,Part-Time,Zone C,2022-10-13,,,3,4,5,5,3,2022-08-25,Customer Service,External,Completed,5,964.44
3454,Area Sales Manager,PYZ,IT/IS,General - Con,KY,1970-01-29,Male,Hispanic,Married,Active,Full-Time,Full-Time,Zone C,2022-09-11,,,2,4,4,4,2,2023-02-07,Communication Skills,Internal,Passed,3,184.9
3455,Area Sales Manager,WBL,Sales,Project Management - Eng,KY,1999-01-18,Male,Other,Widowed,Inactive,Full-Time,Temporary,Zone C,2021-06-29,2022-07-05,Voluntary,4,4,2,1,1,2023-03-17,Project Management,External,Passed,1,220.41
3456,Area Sales Manager,NEL,Sales,Field Operations,KY,1946-09-25,Female,Black,Divorced,Active,Full-Time,Temporary,Zone A,2023-03-06,,,3,3,4,3,4,2023-06-08,Technical Skills,External,Passed,2,336.82
3457,Area Sales Manager,PL,Sales,Engineers,KY,1947-08-23,Female,White,Divorced,Active,Full-Time,Temporary,Zone B,2020-09-25,,,2,3,5,1,4,2023-04-15,Customer Service,External,Completed,4,485.73
3458,Area Sales Manager,BPC,Sales,Field Operations,TX,1996-08-12,Female,Hispanic,Single,Inactive,Contract,Full-Time,Zone A,2022-04-28,2023-05-24,Voluntary,2,3,2,5,5,2022-12-02,Communication Skills,Internal,Failed,2,409.27
3459,Area Sales Manager,CCDR,Sales,General - Con,TX,1944-02-09,Male,Black,Widowed,Inactive,Part-Time,Full-Time,Zone A,2021-04-18,2022-06-21,Voluntary,4,2,4,4,3,2023-06-14,Communication Skills,Internal,Passed,4,168.32
